Rank,Community,Score,Vitality,Equity,Economy,Eduation,Environment,Food & Nutrition,Population Health,Housing,Public Safety,Infrastructure
182,"Lewis and Clark County, Montana",69.7,67.7,60.9,65.7,39.8,80.3,61.2,78.1,62.1,57.2,77.8
183,"Madison County, Iowa",69.7,70.6,61.5,67.6,56.2,66.1,50.2,74.5,67.5,67.8,66.5
184,"Dickinson County, Iowa",69.7,71.6,45.9,63.3,66.4,63.0,51.5,77.0,67.8,72.3,74.0
185,"Clay County, Iowa",69.6,51.2,71.0,57.5,66.6,70.1,48.2,81.2,66.5,71.0,66.4
186,"Kewaunee County, Wisconsin",69.5,59.5,78.8,60.1,45.4,74.5,52.1,80.5,58.3,73.1,63.5
187,"Outagamie County, Wisconsin",69.4,54.7,53.6,75.9,55.5,70.6,33.6,87.8,61.2,73.0,79.9
188,"Bergen County, New Jersey",69.4,42.3,33.2,84.0,89.6,51.3,70.2,81.9,43.8,91.6,56.4
189,"Valley County, Montana",69.4,73.0,50.7,58.7,59.0,70.6,65.0,66.9,84.5,61.6,66.2
190,"Cherokee County, Iowa",69.4,59.0,62.9,55.8,56.6,64.5,41.4,86.6,81.4,73.6,67.3
191,"Sheridan County, Montana",69.4,75.3,58.9,56.4,44.6,78.7,61.0,76.5,61.8,68.7,69.4
192,"Rock County, Minnesota",69.3,59.6,66.8,62.6,58.4,75.5,54.3,71.4,64.1,55.4,83.1
193,"Tolland County, Connecticut",69.3,47.8,54.7,79.6,79.6,70.9,49.0,78.2,51.5,66.4,65.9
194,"Clay County, Nebraska",69.3,61.1,71.5,55.6,61.5,66.5,50.2,68.2,68.5,75.7,74.4
195,"Fauquier County, Virginia",69.3,70.3,56.8,79.4,69.1,61.6,59.2,74.4,48.6,68.2,50.0
196,"Pierce County, Wisconsin",69.3,53.7,68.5,70.0,59.7,66.8,53.9,80.3,53.3,66.7,69.5
197,"Nemaha County, Nebraska",69.3,55.9,62.0,60.7,71.4,57.2,56.8,75.7,64.4,67.8,76.8
198,"Nicollet County, Minnesota",69.3,53.7,60.5,68.5,70.7,83.0,29.4,75.7,60.0,76.7,72.9
199,"Sibley County, Minnesota",69.2,61.9,66.7,68.1,56.5,71.9,54.1,68.4,70.0,73.0,57.8
200,"Richland County, Montana",69.2,61.3,81.3,65.5,42.9,69.0,53.8,68.8,76.5,62.4,64.5
201,"Washington County, Oregon",69.2,45.8,40.2,79.1,62.7,59.3,61.7,86.9,46.3,74.3,89.7
202,"Utah County, Utah",69.2,40.5,43.6,69.9,67.5,79.6,45.4,85.8,52.0,70.2,99.4
203,"Howard County, Iowa",69.2,59.7,66.5,63.6,49.5,56.0,54.2,78.9,74.5,69.1,73.6
204,"Kossuth County, Iowa",69.1,62.0,56.7,56.2,59.5,69.8,49.7,83.8,71.3,67.9,72.4
205,"Geauga County, Ohio",69.1,67.2,66.8,73.1,62.3,68.9,51.4,72.1,60.0,70.5,48.2
206,"Pottawatomie County, Kansas",69.1,66.7,70.7,66.6,63.9,54.2,40.8,77.9,63.3,65.5,70.1
207,"Phelps County, Nebraska",69.1,55.9,66.3,61.6,62.1,69.6,39.6,76.6,68.5,69.1,80.0
208,"Audubon County, Iowa",69.0,61.7,82.9,51.9,59.6,70.3,60.5,75.0,68.9,52.9,60.0
209,"Sagadahoc County, Maine",69.0,58.1,79.8,67.3,58.1,66.8,52.1,76.7,45.6,70.5,63.7
210,"Deschutes County, Oregon",68.9,68.3,52.4,70.4,46.0,71.8,56.6,78.2,49.3,63.5,89.1
211,"Wright County, Iowa",68.9,54.0,62.9,54.9,52.8,79.6,52.9,73.9,65.0,82.9,76.2
212,"Oakland County, Michigan",68.8,52.7,39.8,78.6,70.9,53.4,53.4,77.9,66.0,76.3,76.6
213,"Marion County, Iowa",68.8,58.4,54.9,64.8,63.5,69.0,50.9,80.3,68.0,71.4,64.1
214,"Sherburne County, Minnesota",68.7,66.5,59.9,83.5,62.1,68.0,42.3,77.1,56.9,64.9,53.1
215,"Windsor County, Vermont",68.7,61.9,59.6,66.7,58.9,69.8,72.2,78.3,42.9,61.2,69.0
216,"La Crosse County, Wisconsin",68.7,50.5,53.7,67.2,67.6,60.5,47.8,86.9,51.8,65.7,91.5
217,"Palo Alto County, Iowa",68.7,57.9,55.2,61.0,60.7,77.9,42.2,76.6,84.1,69.0,66.2
218,"Cheyenne County, Nebraska",68.6,52.6,64.1,68.3,63.8,67.5,51.4,73.4,60.5,69.7,73.6
219,"Grafton County, New Hampshire",68.6,61.9,38.8,71.1,69.8,70.4,56.1,87.7,55.4,63.6,66.0
220,"Oneida County, Wisconsin",68.6,69.4,63.7,64.1,50.0,82.7,49.0,75.0,57.5,65.6,67.3
221,"Benton County, Oregon",68.6,46.0,44.4,64.4,72.7,61.7,61.4,94.4,42.4,64.2,90.2
222,"St. Johns County, Florida",68.6,79.0,55.8,77.0,65.6,44.2,48.2,72.7,53.4,63.2,75.5
223,"Piatt County, Illinois",68.5,64.7,58.3,61.3,60.8,65.6,49.2,64.3,66.8,81.6,79.6
224,"Butler County, Pennsylvania",68.3,56.9,72.0,72.1,68.4,57.8,47.5,72.1,66.1,60.8,62.5
225,"Ida County, Iowa",68.3,57.2,55.3,59.9,68.2,71.2,63.7,68.9,90.9,64.0,49.2
226,"Grand Isle County, Vermont",68.3,68.5,60.3,67.7,72.3,56.8,68.6,74.2,59.7,58.0,47.9
227,"Denton County, Texas",68.2,59.8,41.7,79.1,76.2,64.2,49.3,72.6,50.7,73.8,74.8
228,"Chippewa County, Minnesota",68.2,46.5,59.8,61.1,59.4,76.2,53.9,77.6,63.5,74.9,74.6
229,"San Luis Obispo County, California",68.2,46.5,38.5,68.2,61.5,71.3,72.6,86.2,36.1,70.4,93.4
230,"Crook County, Wyoming",68.2,76.4,66.6,58.2,53.3,80.3,64.7,78.2,61.3,51.7,44.8
231,"Ottawa County, Michigan",68.1,61.3,54.6,73.8,65.3,70.0,41.6,78.2,52.2,63.8,77.7
232,"Butler County, Nebraska",68.1,56.6,77.4,62.2,59.8,56.4,52.9,77.8,52.9,70.4,69.0
233,"Arapahoe County, Colorado",68.1,50.4,39.0,78.4,55.7,75.7,61.5,80.6,47.0,64.6,90.6
234,"Adair County, Iowa",68.1,58.9,64.5,59.9,53.0,70.4,60.4,76.2,80.0,62.3,56.1
235,"Midland County, Michigan",68.1,57.8,58.4,76.4,63.8,63.2,35.8,77.6,61.2,70.7,72.6
